Country/Region,CHE
Tuvalu,19.415
Afghanistan,18.68
US,18.06
Liberia,16.795
Kiribati,15.9
Palau,15.36
Cuba,13.14
Nauru,12.87
Germany,12.81
Canada,12.685
Marshall Islands,12.57
Armenia,12.29
United Kingdom,12.26
France,12.22
Switzerland,11.765
Austria,11.745
Sweden,11.29
Netherlands,11.25
Belgium,11.12
Montenegro,10.985
Japan,10.91
Micronesia,10.905
Portugal,10.845
Spain,10.745
Timor-Leste,10.7
Maldives,10.69
Denmark,10.69
Malta,10.66
Australia,10.61
Norway,10.585
Lesotho,10.245
Panama,10.24
New Zealand,10.06
Brazil,10.035
Argentina,10.03
Finland,9.94
Burundi,9.91
Iceland,9.67
Bosnia and Herzegovina,9.63
Chile,9.535
Italy,9.505
Slovenia,9.455
El Salvador,9.4
Serbia,9.355
Czechia,9.35
Greece,9.335
Uruguay,9.25
Nicaragua,9.165
Namibia,9.14
Honduras,9.1
Central African Republic,9.03
Sierra Leone,8.94
Cyprus,8.92
Colombia,8.865
"Korea, South",8.84
Lebanon,8.82
Guinea-Bissau,8.62
Andorra,8.56
Bulgaria,8.52
Georgia,8.425
South Africa,8.42
Ecuador,8.325
Mozambique,8.31
San Marino,8.23
Latvia,8.145
North Macedonia,8.125
Tajikistan,8.095
Bolivia,8.09
Croatia,7.91
Paraguay,7.855
Israel,7.805
Ukraine,7.785
Barbados,7.73
Costa Rica,7.7
South Sudan,7.655
Lithuania,7.65
Sao Tome and Principe,7.565
Estonia,7.535
Russia,7.48
Slovakia,7.44
Rwanda,7.4
Bahamas,7.395
Albania,7.395
Moldova,7.375
Hungary,7.335
Cambodia,7.32
Trinidad and Tobago,7.28
Uzbekistan,7.245
Malawi,7.21
Jordan,7.165
Tunisia,7.01
Ireland,6.915
Jamaica,6.91
Eswatini,6.82
Guatemala,6.685
Cabo Verde,6.51
Saint Lucia,6.5
Samoa,6.495
Belarus,6.49
Zambia,6.47
Poland,6.47
Burkina Faso,6.44
Mauritius,6.435
Romania,6.355
Saudi Arabia,6.31
Suriname,6.26
Dominica,6.25
Peru,6.22
Botswana,6.215
Mexico,6.15
Comoros,6.105
Kuwait,6.065
Niger,5.99
Saint Kitts and Nevis,5.91
Seychelles,5.9
Antigua and Barbuda,5.885
Algeria,5.835
Tonga,5.8
Togo,5.8
Morocco,5.79
Mongolia,5.79
Iraq,5.71
Luxembourg,5.705
Singapore,5.64
Grenada,5.63
Iran,5.585
United Arab Emirates,5.565
Philippines,5.515
China,5.485
Chad,5.365
Kyrgyzstan,5.35
Nepal,5.315
Azerbaijan,5.275
Guyana,5.225
Belize,5.145
Burma,5.125
Saint Vincent and the Grenadines,5.1
Fiji,5.075
Dominican Republic,4.93
Oman,4.81
Solomon Islands,4.78
Thailand,4.76
Senegal,4.75
Turkey,4.595
Kenya,4.515
Bahrain,4.495
Uganda,4.485
Vietnam,4.445
Egypt,4.38
Yemen,4.25
Malaysia,4.23
Vanuatu,4.18
Eritrea,4.155
Congo (Brazzaville),4.135
Bhutan,4.105
Ghana,4.085
Venezuela,4.065
Sri Lanka,4.045
Libya,4.02
Monaco,3.98
Mali,3.975
Congo (Kinshasa),3.92
Kazakhstan,3.835
Guinea,3.82
Cameroon,3.795
Mauritania,3.755
Nigeria,3.73
Equatorial Guinea,3.65
Madagascar,3.61
Indonesia,3.565
Gambia,3.46
Cote d'Ivoire,3.38
Qatar,3.355
Haiti,3.35
Ethiopia,3.345
India,3.31
Tanzania,3.15
Angola,3.09
Gabon,3.06
Syria,3.05
Sudan,2.93
Pakistan,2.93
Zimbabwe,2.87
Benin,2.525
Djibouti,2.515
Laos,2.4
Bangladesh,2.315
Papua New Guinea,2.31
Brunei,2.295
Winter Olympics 2022,
West Bank and Gaza,
Taiwan*,
Summer Olympics 2020,
Somalia,
MS Zaandam,
Liechtenstein,
Kosovo,
"Korea, North",
Holy See,
Diamond Princess,
Antarctica,
